method,model,case_id,rounds,total_time_minutes,per_round_minutes,logs_path
AutoDAN,llama3_2_1b_instruct,1,11.0,-1,-1,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_1b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_1/logs.json
AutoDAN,llama3_2_1b_instruct,2,33.0,-1,-1,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_1b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_2/logs.json
AutoDAN,llama3_2_1b_instruct,3,16.0,-1,-1,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_1b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_3/logs.json
AutoDAN,llama3_2_1b_instruct,4,14.0,-1,-1,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_1b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_4/logs.json
AutoDAN,llama3_2_1b_instruct,5,16.0,-1,-1,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_1b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_5/logs.json
AutoDAN,llama3_2_1b_instruct,6,6.0,6.481,1.08,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_1b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_6/logs.json
AutoDAN,llama3_2_1b_instruct,7,13.0,6.481,0.499,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_1b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_7/logs.json
AutoDAN,llama3_2_1b_instruct,8,20.0,6.481,0.324,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_1b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_8/logs.json
AutoDAN,llama3_2_1b_instruct,9,21.0,6.481,0.309,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_1b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_9/logs.json
AutoDAN,llama3_2_1b_instruct,10,23.0,6.481,0.282,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_1b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_10/logs.json
AutoDAN,llama3_2_1b_instruct,11,22.0,4.435,0.202,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_1b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_11/logs.json
AutoDAN,llama3_2_1b_instruct,12,12.0,4.435,0.37,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_1b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_12/logs.json
AutoDAN,llama3_2_1b_instruct,13,12.0,4.435,0.37,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_1b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_13/logs.json
AutoDAN,llama3_2_1b_instruct,14,11.0,4.435,0.403,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_1b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_14/logs.json
AutoDAN,llama3_2_1b_instruct,15,17.0,4.435,0.261,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_1b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_15/logs.json
AutoDAN,llama3_2_1b_instruct,16,6.0,6.658,1.11,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_1b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_16/logs.json
AutoDAN,llama3_2_1b_instruct,17,52.0,6.658,0.128,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_1b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_17/logs.json
AutoDAN,llama3_2_1b_instruct,18,6.0,6.658,1.11,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_1b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_18/logs.json
AutoDAN,llama3_2_1b_instruct,19,24.0,6.658,0.277,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_1b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_19/logs.json
AutoDAN,llama3_2_1b_instruct,20,27.0,6.658,0.247,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_1b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_20/logs.json
AutoDAN,llama3_2_1b_instruct,21,25.0,3.906,0.156,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_1b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_21/logs.json
AutoDAN,llama3_2_1b_instruct,22,16.0,3.906,0.244,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_1b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_22/logs.json
AutoDAN,llama3_2_1b_instruct,23,6.0,3.906,0.651,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_1b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_23/logs.json
AutoDAN,llama3_2_1b_instruct,24,11.0,3.906,0.355,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_1b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_24/logs.json
AutoDAN,llama3_2_1b_instruct,25,1.0,3.906,3.906,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_1b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_25/logs.json
AutoDAN,llama3_2_1b_instruct,26,13.0,4.393,0.338,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_1b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_26/logs.json
AutoDAN,llama3_2_1b_instruct,27,32.0,4.393,0.137,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_1b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_27/logs.json
AutoDAN,llama3_2_1b_instruct,28,11.0,4.393,0.399,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_1b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_28/logs.json
AutoDAN,llama3_2_1b_instruct,29,12.0,4.393,0.366,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_1b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_29/logs.json
AutoDAN,llama3_2_1b_instruct,30,6.0,4.393,0.732,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_1b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_30/logs.json
AutoDAN,llama3_2_1b_instruct,31,24.0,2.867,0.119,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_1b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_31/logs.json
AutoDAN,llama3_2_1b_instruct,32,11.0,2.867,0.261,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_1b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_32/logs.json
AutoDAN,llama3_2_1b_instruct,33,12.0,2.868,0.239,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_1b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_33/logs.json
AutoDAN,llama3_2_1b_instruct,34,6.0,2.868,0.478,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_1b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_34/logs.json
AutoDAN,llama3_2_1b_instruct,35,11.0,2.868,0.261,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_1b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_35/logs.json
AutoDAN,llama3_2_1b_instruct,36,12.0,3.964,0.33,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_1b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_36/logs.json
AutoDAN,llama3_2_1b_instruct,37,16.0,3.964,0.248,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_1b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_37/logs.json
AutoDAN,llama3_2_1b_instruct,38,1.0,3.964,3.964,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_1b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_38/logs.json
AutoDAN,llama3_2_1b_instruct,39,21.0,3.964,0.189,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_1b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_39/logs.json
AutoDAN,llama3_2_1b_instruct,40,19.0,3.964,0.209,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_1b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_40/logs.json
AutoDAN,llama3_2_1b_instruct,41,6.0,4.809,0.801,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_1b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_41/logs.json
AutoDAN,llama3_2_1b_instruct,42,28.0,4.809,0.172,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_1b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_42/logs.json
AutoDAN,llama3_2_1b_instruct,43,16.0,4.809,0.301,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_1b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_43/logs.json
AutoDAN,llama3_2_1b_instruct,44,11.0,4.809,0.437,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_1b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_44/logs.json
AutoDAN,llama3_2_1b_instruct,45,21.0,4.809,0.229,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_1b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_45/logs.json
AutoDAN,llama3_2_1b_instruct,46,1.0,2.469,2.469,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_1b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_46/logs.json
AutoDAN,llama3_2_1b_instruct,47,12.0,2.469,0.206,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_1b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_47/logs.json
AutoDAN,llama3_2_1b_instruct,48,1.0,2.469,2.469,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_1b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_48/logs.json
AutoDAN,llama3_2_1b_instruct,49,28.0,2.469,0.088,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_1b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_49/logs.json
AutoDAN,llama3_2_1b_instruct,50,6.0,2.469,0.412,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_1b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_50/logs.json
AutoDAN,llama3_2_3b_instruct,1,17.0,-1,-1,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_3b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_1/logs.json
AutoDAN,llama3_2_3b_instruct,2,11.0,-1,-1,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_3b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_2/logs.json
AutoDAN,llama3_2_3b_instruct,3,11.0,-1,-1,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_3b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_3/logs.json
AutoDAN,llama3_2_3b_instruct,4,11.0,-1,-1,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_3b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_4/logs.json
AutoDAN,llama3_2_3b_instruct,5,24.0,-1,-1,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_3b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_5/logs.json
AutoDAN,llama3_2_3b_instruct,6,11.0,5.322,0.484,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_3b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_6/logs.json
AutoDAN,llama3_2_3b_instruct,7,16.0,5.322,0.333,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_3b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_7/logs.json
AutoDAN,llama3_2_3b_instruct,8,11.0,5.322,0.484,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_3b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_8/logs.json
AutoDAN,llama3_2_3b_instruct,9,11.0,5.322,0.484,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_3b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_9/logs.json
AutoDAN,llama3_2_3b_instruct,10,32.0,5.322,0.166,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_3b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_10/logs.json
AutoDAN,llama3_2_3b_instruct,11,21.0,9.9,0.471,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_3b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_11/logs.json
AutoDAN,llama3_2_3b_instruct,12,15.0,9.9,0.66,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_3b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_12/logs.json
AutoDAN,llama3_2_3b_instruct,13,37.0,9.9,0.268,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_3b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_13/logs.json
AutoDAN,llama3_2_3b_instruct,14,6.0,9.9,1.65,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_3b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_14/logs.json
AutoDAN,llama3_2_3b_instruct,15,48.0,9.9,0.206,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_3b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_15/logs.json
AutoDAN,llama3_2_3b_instruct,16,14.0,8.63,0.616,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_3b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_16/logs.json
AutoDAN,llama3_2_3b_instruct,17,27.0,8.63,0.32,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_3b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_17/logs.json
AutoDAN,llama3_2_3b_instruct,18,15.0,8.63,0.575,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_3b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_18/logs.json
AutoDAN,llama3_2_3b_instruct,19,15.0,8.63,0.575,/data2/zwh/HarmBench/results_full_50/AutoDAN/llama3_2_3b_instruct/test_cases/test_cases_individual_behaviors/advbench_subset_19/logs.json
